Index,Date,Sentiment
424,2019-03-12 9:00,2.666666667
425,2019-03-13 9:00,4
426,2019-03-14 9:00,2.76863313
427,2019-03-15 9:00,3.25
428,2019-03-16 9:00,1
429,2019-03-17 9:00,1.714285714
430,2019-03-18 9:00,3.333333333
431,2019-03-19 9:00,3.153846154
432,2019-03-20 9:00,2.75
433,2019-03-21 9:00,3.4
434,2019-03-22 9:00,3.25
435,2019-03-23 9:00,4.5
436,2019-03-24 9:00,2.833333333
437,2019-03-25 9:00,2.703703704
438,2019-03-26 9:00,2.352941176
439,2019-03-27 9:00,2.631578947
440,2019-03-28 9:00,2.814814815
441,2019-03-29 9:00,2.083333333
442,2019-03-30 9:00,2.454545455
443,2019-03-31 9:00,2.526315789
444,2019-04-01 9:00,3.105263158
445,2019-04-02 9:00,2.538461538
446,2019-04-03 9:00,2.551724138
447,2019-04-04 9:00,3.153846154
448,2019-04-05 9:00,2.833333333
449,2019-04-06 9:00,2.9
450,2019-04-07 9:00,2.545454545
451,2019-04-08 9:00,2.28
452,2019-04-09 9:00,3.166666667
453,2019-04-10 9:00,2.411764706
454,2019-04-11 9:00,2.5
455,2019-04-12 9:00,2.5
456,2019-04-13 9:00,5
457,2019-04-14 9:00,3.428571429
458,2019-04-15 9:00,2.75
459,2019-04-16 9:00,2.4
460,2019-04-17 9:00,2.875
461,2019-04-18 9:00,2.5
462,2019-04-19 9:00,3
463,2019-04-20 9:00,3.25
464,2019-04-21 9:00,4.5
465,2019-04-22 9:00,3
466,2019-04-23 9:00,2.714285714
467,2019-04-24 9:00,2.4
468,2019-04-25 9:00,2.727272727
469,2019-04-26 9:00,3
470,2019-04-27 9:00,1
471,2019-04-28 9:00,1
472,2019-04-29 9:00,4
473,2019-04-30 9:00,1
474,2019-05-01 9:00,3.666666667
475,2019-05-02 9:00,3.153846154
476,2019-05-03 9:00,3
477,2019-05-04 9:00,2.76863313
478,2019-05-05 9:00,1
479,2019-05-06 9:00,3.5
480,2019-05-07 9:00,1.75
481,2019-05-08 9:00,2.166666667
482,2019-05-09 9:00,3
483,2019-05-10 9:00,2.888888889
484,2019-05-11 9:00,3
485,2019-05-12 9:00,2.125
486,2019-05-13 9:00,3.357142857
487,2019-05-14 9:00,3.1875
488,2019-05-15 9:00,1.882352941
489,2019-05-16 9:00,2.888888889
490,2019-05-17 9:00,2.76863313
491,2019-05-18 9:00,3.25
492,2019-05-19 9:00,2.857142857
493,2019-05-20 9:00,1.857142857
494,2019-05-21 9:00,2.875
495,2019-05-22 9:00,1.666666667
496,2019-05-23 9:00,3.333333333
497,2019-05-24 9:00,3
498,2019-05-26 9:00,3.2
499,2019-05-27 9:00,2.888888889
500,2019-05-28 9:00,2.833333333
501,2019-05-29 9:00,2.25
502,2019-05-30 9:00,2.888888889
503,2019-05-31 9:00,2.76863313
504,2019-06-01 9:00,2.666666667
505,2019-06-03 9:00,2.2
506,2019-06-04 9:00,3.166666667
507,2019-06-05 9:00,3.166666667
508,2019-06-06 9:00,2.25
509,2019-06-07 9:00,5
510,2019-06-09 9:00,2.8
511,2019-06-10 9:00,2.833333333
512,2019-06-11 9:00,2.833333333
513,2019-06-12 9:00,2.5
514,2019-06-13 9:00,2.714285714
515,2019-06-14 9:00,2.76863313
516,2019-06-16 9:00,2.2
517,2019-06-17 9:00,2.3
518,2019-06-18 9:00,2
519,2019-06-19 9:00,2.545454545
520,2019-06-20 9:00,2.636363636
521,2019-06-21 9:00,3.25
522,2019-06-22 9:00,1
523,2019-06-23 9:00,2.384615385
524,2019-06-24 9:00,2.888888889
525,2019-06-25 9:00,2.470588235
526,2019-06-26 9:00,1.944444444
527,2019-06-27 9:00,2
528,2019-06-28 9:00,2.76863313
529,2019-06-29 9:00,3.444444444
530,2019-06-30 9:00,3.555555556
531,2019-07-01 9:00,2.933333333
532,2019-07-02 9:00,2.428571429
533,2019-07-03 9:00,2.857142857
534,2019-07-04 9:00,2.9
535,2019-07-05 9:00,3.333333333
536,2019-07-06 9:00,1
537,2019-07-07 9:00,2.75
538,2019-07-08 9:00,2
539,2019-07-09 9:00,1.933333333
540,2019-07-10 9:00,2.238095238
541,2019-07-11 9:00,2.333333333
542,2019-07-12 9:00,1
543,2019-07-13 9:00,2.125
544,2019-07-14 9:00,2.181818182
545,2019-07-15 9:00,2.25
546,2019-07-16 9:00,3.133333333
547,2019-07-17 9:00,2.611111111
548,2019-07-18 9:00,2.75
549,2019-07-19 9:00,2.8
550,2019-07-20 9:00,1
551,2019-07-21 9:00,2.166666667
552,2019-07-22 9:00,2.888888889
553,2019-07-23 9:00,3.071428571
554,2019-07-24 9:00,2.7
555,2019-07-25 9:00,3.272727273
556,2019-07-26 9:00,4
557,2019-07-27 9:00,1.25
558,2019-07-28 9:00,3
559,2019-07-29 9:00,2.625
560,2019-07-30 9:00,2.846153846
561,2019-07-31 9:00,3.083333333
562,2019-08-01 9:00,2.866666667
563,2019-08-02 9:00,2.055555556
564,2019-08-05 9:00,2.333333333
565,2019-08-06 9:00,2.5
566,2019-08-07 9:00,3.6
567,2019-08-08 9:00,1.916666667
568,2019-08-09 9:00,2
569,2019-08-10 9:00,4
570,2019-08-11 9:00,3.222222222
571,2019-08-12 9:00,2.307692308
572,2019-08-13 9:00,1.727272727
573,2019-08-14 9:00,2.866666667
574,2019-08-15 9:00,2.727272727
575,2019-08-16 9:00,1
576,2019-08-17 9:00,3
577,2019-08-18 9:00,3.555555556
578,2019-08-19 9:00,3
579,2019-08-20 9:00,2.538461538
580,2019-08-21 9:00,2.909090909
581,2019-08-22 9:00,2.882352941
582,2019-08-23 9:00,2.6
583,2019-08-24 9:00,2.5
584,2019-08-25 9:00,2.166666667
585,2019-08-26 9:00,2.166666667
586,2019-08-27 9:00,2.416666667
587,2019-08-28 9:00,2.25
588,2019-08-29 9:00,2.2
589,2019-08-30 9:00,5
590,2019-08-31 9:00,2.5
591,2019-09-01 9:00,2.363636364
592,2019-09-02 9:00,2.909090909
593,2019-09-03 9:00,2.454545455
594,2019-09-04 9:00,3.285714286
595,2019-09-05 9:00,2.666666667
596,2019-09-06 9:00,4
597,2019-09-07 9:00,1
598,2019-09-08 9:00,1.666666667
599,2019-09-09 9:00,2.7
600,2019-09-10 9:00,3.363636364
601,2019-09-11 9:00,1.9
602,2019-09-12 9:00,2.285714286
603,2019-09-13 9:00,1
604,2019-09-14 9:00,1
605,2019-09-15 9:00,2.916666667
606,2019-09-16 9:00,3.181818182
607,2019-09-17 9:00,2.625
608,2019-09-18 9:00,3.230769231
609,2019-09-19 9:00,4.285714286
610,2019-09-20 9:00,2.76863313
611,2019-09-21 9:00,2.4
612,2019-09-22 9:00,2.538461538
613,2019-09-23 9:00,1.8
614,2019-09-24 9:00,2.1
615,2019-09-25 9:00,2.333333333
616,2019-09-26 9:00,2.5
617,2019-09-27 9:00,2.6
618,2019-09-28 9:00,1
619,2019-09-29 9:00,3.571428571
620,2019-09-30 9:00,2.777777778
621,2019-10-01 9:00,3.375
622,2019-10-02 9:00,2.888888889
623,2019-10-03 9:00,2.375
624,2019-10-04 9:00,3
625,2019-10-05 9:00,1.25
626,2019-10-06 9:00,3.777777778
627,2019-10-07 9:00,2.6
628,2019-10-08 9:00,3
629,2019-10-09 9:00,2.666666667
630,2019-10-10 9:00,3.285714286
631,2019-10-11 9:00,5
632,2019-10-12 9:00,2.76863313
633,2019-10-13 9:00,3.333333333
634,2019-10-14 9:00,2.666666667
635,2019-10-15 9:00,2.307692308
636,2019-10-16 9:00,3.25
637,2019-10-17 9:00,3
638,2019-10-18 9:00,1
639,2019-10-19 9:00,3.333333333
640,2019-10-20 9:00,2.888888889
641,2019-10-21 9:00,2.6
642,2019-10-22 9:00,3.066666667
643,2019-10-23 9:00,3.222222222
644,2019-10-24 9:00,3.473684211
645,2019-10-25 9:00,3.111111111
646,2019-10-26 9:00,2
647,2019-10-27 9:00,2.5
648,2019-10-28 9:00,3
649,2019-10-29 9:00,3.857142857
650,2019-10-30 9:00,3
651,2019-10-31 9:00,3.1
652,2019-11-01 9:00,2.333333333
653,2019-11-02 9:00,3
654,2019-11-03 9:00,3
655,2019-11-04 9:00,2.875
656,2019-11-05 9:00,2.615384615
657,2019-11-06 9:00,3.272727273
658,2019-11-07 9:00,2.6
659,2019-11-08 9:00,3
660,2019-11-09 9:00,2.5
661,2019-11-10 9:00,3.111111111
662,2019-11-11 9:00,1.857142857
663,2019-11-12 9:00,3.4
664,2019-11-13 9:00,2.75
665,2019-11-14 9:00,2.625
666,2019-11-15 9:00,5
667,2019-11-16 9:00,3.8
668,2019-11-17 9:00,2.1
669,2019-11-18 9:00,3.083333333
670,2019-11-19 9:00,2.538461538
671,2019-11-20 9:00,2.3
672,2019-11-21 9:00,2.56
673,2019-11-22 9:00,2.5
674,2019-11-23 9:00,1.8
675,2019-11-24 9:00,3.923076923
676,2019-11-25 9:00,2
677,2019-11-26 9:00,3.428571429
678,2019-11-27 9:00,3.2
679,2019-11-28 9:00,3.833333333
680,2019-11-29 9:00,3.333333333
681,2019-11-30 9:00,3
682,2019-12-01 9:00,3.166666667
683,2019-12-02 9:00,3.428571429
684,2019-12-03 9:00,3.5
685,2019-12-04 9:00,2
686,2019-12-05 9:00,2.5
687,2019-12-06 9:00,5
688,2019-12-08 9:00,2.666666667
689,2019-12-09 9:00,3.666666667
690,2019-12-10 9:00,2.857142857
691,2019-12-11 9:00,3.5
692,2019-12-12 9:00,3
693,2019-12-13 9:00,1
694,2019-12-14 9:00,3
695,2019-12-15 9:00,2.818181818
696,2019-12-16 9:00,1.777777778
697,2019-12-17 9:00,2.461538462
698,2019-12-18 9:00,3.25
699,2019-12-19 9:00,3.272727273
700,2019-12-20 9:00,2.5
701,2019-12-22 9:00,2.76863313
703,2019-12-23 9:00,3.8
704,2019-12-24 9:00,2.4
702,2019-12-25 9:00,3.333333333
705,2019-12-26 9:00,1.666666667
706,2019-12-27 9:00,2.76863313
707,2019-12-28 9:00,4
708,2019-12-29 9:00,1.6
709,2019-12-30 9:00,3
710,2019-12-31 9:00,2.76863313
711,2020-01-01 9:00,4.333333333
712,2020-01-02 9:00,3.333333333
713,2020-01-03 9:00,3.666666667
714,2020-01-04 9:00,3.333333333
715,2020-01-05 9:00,3
716,2020-01-06 9:00,2.333333333
717,2020-01-07 9:00,2.75
718,2020-01-08 9:00,4
719,2020-01-09 9:00,3
720,2020-01-10 9:00,3.5
721,2020-01-11 9:00,4
722,2020-01-12 9:00,3.8
723,2020-01-13 9:00,3
724,2020-01-14 9:00,2.666666667
725,2020-01-15 9:00,3
726,2020-01-16 9:00,3.875
727,2020-01-17 9:00,2.4
728,2020-01-18 9:00,3
729,2020-01-19 9:00,3.333333333
730,2020-01-20 9:00,2.5
731,2020-01-21 9:00,2
732,2020-01-22 9:00,3.625
733,2020-01-23 9:00,2.4
734,2020-01-24 9:00,3.666666667
735,2020-01-25 9:00,2
736,2020-01-26 9:00,2.363636364
737,2020-01-27 9:00,2.909090909
738,2020-01-28 9:00,2.666666667
739,2020-01-29 9:00,2
740,2020-01-30 9:00,2.8
741,2020-01-31 9:00,3.142857143
742,2020-02-01 9:00,1.666666667
743,2020-02-02 9:00,3.6
744,2020-02-03 9:00,2.75
745,2020-02-04 9:00,2.888888889
746,2020-02-05 9:00,2
747,2020-02-06 9:00,2.4
748,2020-02-07 9:00,3
749,2020-02-08 9:00,2.2
750,2020-02-09 9:00,2.428571429
751,2020-02-10 9:00,2.25
752,2020-02-11 9:00,3.666666667
753,2020-02-12 9:00,1.625
754,2020-02-13 9:00,3.833333333
755,2020-02-14 9:00,1.428571429
756,2020-02-15 9:00,2.4375
757,2020-02-16 9:00,2.666666667
758,2020-02-17 9:00,2.142857143
759,2020-02-18 9:00,2
760,2020-02-19 9:00,2.857142857
761,2020-02-20 9:00,1.833333333
762,2020-02-21 9:00,4
763,2020-02-22 9:00,1.75
764,2020-02-23 9:00,2.25
765,2020-02-24 9:00,2.083333333
766,2020-02-25 9:00,2.461538462
767,2020-02-26 9:00,2.2
768,2020-02-27 9:00,2.75
769,2020-02-28 9:00,2
770,2020-02-29 9:00,2.125
771,2020-03-01 9:00,2.428571429
772,2020-03-02 9:00,1.142857143
773,2020-03-03 9:00,2.357142857
774,2020-03-04 9:00,1.5
775,2020-03-05 9:00,2.5
776,2020-03-06 9:00,1.714285714
777,2020-03-07 9:00,2.473684211
778,2020-03-08 9:00,2.222222222
779,2020-03-09 9:00,2.857142857
780,2020-03-10 9:00,2.214285714
781,2020-03-11 9:00,2.023809524
